CODE_TIERS_EDI,CODE_ARTICLE,FAMILLE,SS_FAMILLE,LIBELLE,UNITE,NUM_CPT,
CHAMP_CERE,3011103,000,000,CICERO-20L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3011161,000,000,MN 150S-10L,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3011171,000,000,CEREPHOS MG+-10L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3011205,000,000,CHOU F PROTEOR-1KG,KGM,6012000,Semences
CHAMP_CERE,3011210,000,000,SEIGLE INTERCULTURES-25KG,KGM,6012000,Semences
CHAMP_CERE,3011324,000,000,DANAGAN-5KG,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3011330,000,000,ETHOSAT 500-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3011332,000,000,AMBITION-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3011368,000,000,PANCARTE /UNITE,EA,6066000,Achats de petits équipements
CHAMP_CERE,3011465,000,000,"XEN TARI-0,5KG",NAR,6013000,Produits de santé des végétaux
CHAMP_CERE,3011501,000,000,VESCE VELUE LATIGO-25KG,EA,6012000,Semences
CHAMP_CERE,3011545,000,000,JALONS SACHET-30,NAR,6151000,Entretien des terrains
CHAMP_CERE,3011566,000,000,BARAKA-1L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3011596,000,000,MEL ST HUBERT EN 10 KG,EA,6012000,Semences
CHAMP_CERE,3011602,000,000,TREFLE ALEXANDRIE AKENATON-25K,KGM,6012000,Semences
CHAMP_CERE,3011604,000,000,SEIGLE FORESTIER-25KG,KGM,6012000,Semences
CHAMP_CERE,3011617,000,000,RGA NUI 2N T-25KG,KGM,6012000,Semences
CHAMP_CERE,3011620,000,000,PHACELIE ANGELIA-10KG,EA,6012000,Semences
CHAMP_CERE,3011636,000,000,CUPROCAFFARO-25KG,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3011648,000,000,TERRE DE BRUYERE-50L,NAR,6011000,Engrais et amendements
CHAMP_CERE,3011707,000,000,FUSILADE MAX-20L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3011717,000,000,SCORE-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3011784,000,000,RADIS AN FINAL-10KG,KGM,6012000,Semences
CHAMP_CERE,3011820,000,000,RGI JIVET 4N ALTER-10KG,KGM,6012000,Semences
CHAMP_CERE,3011838,000,000,VENZAR-1KG,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3011860,000,000,MAIS MARKIZA-50MG,EA,6012000,Semences
CHAMP_CERE,3011947,000,000,MOUTARDE OR COVER-25KG,KGM,6012000,Semences
CHAMP_CERE,3012013,000,000,POUSSIN CROISSANCE M EN 25 KG,EA,6014000,Aliments
CHAMP_CERE,3012075,000,000,DIAZOLE DT-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3012090,505,500,LAPETY FERMIER EN 25 KG,EA,6014000,Aliments
CHAMP_CERE,3012091,000,000,POULET ENGRAIS EN 25 KG,EA,6014000,Aliments
CHAMP_CERE,3012373,000,000,CYBELE-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3012397,000,000,KARATE K-1L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3012417,000,000,SEL GEMME BB  600 KG,TNE,6014000,Aliments
CHAMP_CERE,3012463,000,000,16-07-13 + 21SO3 VRAC,TNE,6011000,Engrais et amendements
CHAMP_CERE,3012474,000,000,PROTA PLUS FIRST-15KG,KGM,6012000,Semences
CHAMP_CERE,3012534,000,000,VITAVAX 200 FF-20L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3012543,000,000,SORGHO F SUPER SILE 18-500MG,NAR,6012000,Semences
CHAMP_CERE,3012624,000,000,VITAVAX 200 FF-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3012637,000,000,PEARL PROTECH-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3012643,000,000,AZOPHOS 18-23-00 + 15SO3 VRAC,TNE,6011000,Engrais et amendements
CHAMP_CERE,3012644,000,000,AZOPHOS 18-23-00 + 15S03 BB 60,TNE,6011000,Engrais et amendements
CHAMP_CERE,3012645,000,000,FAZOR-20KG,KGM,6013000,Produits de santé des végétaux
CHAMP_CERE,3012647,000,000,NYGER AZO FIX-25KG,KGM,6012000,Semences
CHAMP_CERE,3012694,000,000,MIX ENERGIE PIC EN VRAC,TNE,6014000,Aliments
CHAMP_CERE,3012709,000,000,RUSTI PRIM GR  SAC 25 KG,EA,6014000,Aliments
CHAMP_CERE,3012716,000,000,APEX N 30 (SULFAMMO 30) BB 600,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3012718,000,000,CLEANSTONE-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3012725,000,000,CLEANSTONE PRO-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3012773,000,000,AMBITION-1L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3012785,000,000,BREF C EN 20 L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3012792,000,000,CIDORM TX-25KG,KGM,6013000,Produits de santé des végétaux
CHAMP_CERE,3012800,000,000,EPERON PEPITE-72KG,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3012820,000,000,ILLICO TR-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3012837,000,000,PULVE-GEL-10L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3012849,000,000,TRAFFIC ALLEE-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3012854,000,000,VARAPE-1KG,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3012883,505,100,RUSTI PRIM GR BB 700KG,TNE,6014000,Aliments
CHAMP_CERE,3012913,000,000,"MAGEOS MD-3,6KG",EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3012933,000,000,HUILE VAZYL Y-1000L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3012976,000,000,COLZA H L ADRIANA-MESUROL-2MIG,NAR,6012000,Semences
CHAMP_CERE,3012985,000,000,DIABOLO-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3013033,000,000,TREFLE VIOLET CORVUS-10 KG,KGM,6012000,Semences
CHAMP_CERE,3013043,505,100,RUSTI PRIM GR VRAC,TNE,6014000,Aliments
CHAMP_CERE,3013053,000,000,RGH BAHIAL 4N ANGL- 10KG,KGM,6012000,Semences
CHAMP_CERE,3013143,000,000,MELIOS PERFORMANCE 200-NT-15KG,KGM,6012000,Semences
CHAMP_CERE,3013193,505,654,ACIDOLINE 25 KG,NAR,6022000,Produits d'entretien et fournitures
CHAMP_CERE,3013276,000,000,TOPFLOW 130 DUO 5 RR,TNE,6013000,Produits de santé des végétaux
CHAMP_CERE,3013324,505,300,PORC UNIQUE GRANULE EN 25 KG,EA,6014000,Aliments
CHAMP_CERE,3013333,000,000,CALSEAMOUTON EN 15 KG,KGM,6014000,Aliments
CHAMP_CERE,3013334,000,000,CALSEAPHOS EN 15 KG,KGM,6014000,Aliments
CHAMP_CERE,3013335,000,000,CALSEAOLIGO EN 15 KG,EA,6014000,Aliments
CHAMP_CERE,3013345,000,000,LUZERNE ALPHA-25KG,EA,6012000,Semences
CHAMP_CERE,3013363,000,000,AGNOPRESTARTER GR EN 25 KG,EA,6014000,Aliments
CHAMP_CERE,3013386,000,000,FIXA CUIVRE-10L,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3013387,000,000,FIXA MN-10L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3013388,000,000,FIXA MO-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3013389,000,000,FIXA ZINC-10L,LTR,6013000,Produits de santé des végétaux
