Année	Mois	Prlt	Germes	Inhib	M.G.	M.P.	Cellules	Butyriques	Cryo	Lipolyse	IGG	Urée	Salmon	Listéria	Staph	Coliformes	Pseudom	E-coli
2008	7	1	5	NEG	3970	3330	292	80	0,527			322						
2008	7	2	11	NEG	3950	3370	414		0,528			308						
2008	7	3	9	NEG	3860	3310	432		0,524			322						
2008	6	1	5	NEG	4190	3360	245		0,525			262						
2008	6	2	9	NEG	3980	3470	274	3500	0,526			339						
2008	6	3	8	NEG	3900	3400	388		0,523	0,5		241						
2008	5	1	11	NEG	4250	3590	310	200	0,522			282						
2008	5	2	5	NEG	4270	3490	368		0,521			324						
2008	5	3	5	NEG	4290	3520	174		0,521			288						
2008	4	1	27	NEG	4510	3540	404	450	0,52			307						
2008	4	2	5	NEG	4430	3530	427		0,519			252						
2008	4	3	36	NEG	4380	3380	395		0,522			227						
2008	3	1	10	NEG	4370	3560	288	2400	0,523	0,39		322						
2008	3	2	5	NEG	4430	3560	470	5400	0,517			283						
2008	3	3	5	NEG	4590	3670	412		0,525			247						
2008	2	1	16	NEG	4620	3700	215	5400	0,521			321						
2008	2	2	18	NEG	4390	3570	183	3500	0,525			262						
2008	2	3	5	NEG	4510	3530	248		0,521			286						
2008	1	1	21	NEG	4730	3620	625	5400	0,517			281						
2008	1	2	7	NEG	4590	3710	329	24000	0,519			262						
2008	1	3	17	NEG	4580	3580	322		0,519			272						
2007	12	1	8	NEG	4700	3840		3500	0,519			235						
2007	12	2	9	NEG	4730	3850	228	3500	0,523	0,35		304						
2007	12	3	11	NEG	4770	3810	268		0,517			242						
2007	11	1	12	NEG	4520	3760	108	1300	0,519			303						
2007	11	2	5	NEG	4510	3720	121	2400	0,52			282						
2007	11	3	7	NEG	4660	3820	125		0,522			224						
2007	10	1	5	NEG	4490	3560	149	200	0,518			286						
2007	10	2	9	NEG	4380	3580	114	450	0,514			249						
2007	10	3	13	NEG	4420	3720	144		0,522			245						
2007	9	1	6	NEG	4520	3670	241	200	0,52			300						
2007	9	2	6	NEG	4460	3630	199		0,521			395						
2007	9	3	15	NEG	4480	3590	215		0,523	0,35		344						
2007	8	1	5	NEG	4250	3450	315		0,518			320						
2007	8	2	15	NEG	4250	3480	396	80	0,521			300						
2007	8	3	68	NEG	4320	3540	245		0,52			280						
2007	7	1	36	NEG	4030	3380	274	200	0,527			349						
2007	7	2	5	NEG	4270	3420	329		0,526			336						
2007	7	3	8	NEG	4310	3380	273		0,519			320						
2007	6	1	29	NEG	3980	3490	411	450	0,527			300						
2007	6	2	49	NEG	3980	3470	410		0,52	0,35		293						
2007	6	3	5	NEG	4030	3390	415		0,521			330						
2007	5	1	32	NEG	4260	3300	470	80	0,519			403						
2007	5	2	8	NEG	4110	3410	260		0,522			334						
2007	5	3	42	NEG	4100	3440	354		0,517			360						
2007	4	1	68	NEG	4520	3650	372	80	0,518			208						
2007	4	2	9	NEG	4210	3600	225		0,515			275						
2007	4	3	12	NEG	4320	3420	197		0,515			266						
2007	3	1	26	NEG	4830	3770	311	1300	0,523			246						
2007	3	2	16	NEG	4590	3680	507	1700	0,52			333						
2007	3	3	8	NEG	4730	3680	709		0,518	0,35		308						
2007	2	1	27	NEG	4660	3780	335	1400	0,522			242						
2007	2	2	97	NEG	4560	3690	315	790	0,518			263						
2007	2	3	8	NEG	4580	3730	325		0,521			277						
2007	1	1	13	NEG	4470	3770	446	2400	0,517			247						
2007	1	2	28	NEG	4400	3720	733	1400	0,513			241						
2007	1	3	18	NEG	4530	3680	402		0,519			268						
2006	12	1	12	NEG	4520	3640	246	1700	0,521			247						
2006	12	2	5	NEG	4500	3660	229	9200	0,523	0,43		258						
2006	12	3	58	NEG	4510	3740	211		0,518			244						
2006	11	1	8	NEG	4540	3710	210	1300	0,523			235						
2006	11	2	82	NEG	4580	3680	335	790	0,522			271						
2006	11	3	6	NEG	4520	3690	303		0,522			254						
2006	10	1	15	NEG	4480	3580	212	930	0,52			282						
2006	10	2	8	NEG	4610	3630	252	790	0,524			265						
2006	10	3	5	NEG	4600	3610	240		0,522			176						
2006	9	1	17	NEG	4550	3690	192	450	0,526			237						
2006	9	2	23	NEG	4700	3650	199		0,525	0,46		394						
2006	9	3	53	NEG	4650	3640	207		0,524			308						
2006	8	1	11	NEG	4310	3500	356	80	0,529			232						
2006	8	2	5	NEG	4180	3490	122		0,524			232						
2006	8	3	13	NEG	4270	3610	138		0,527			267						
2006	7	1	5	NEG	4130	3370	276	200	0,518			183						
2006	7	2	13	NEG	4270	3430	298		0,524			201						
2006	7	3	8	NEG	4080	3370	243		0,524			215						
2006	6	1	8	NEG	4240	3450	192	450	0,522			264						
2006	6	2	9	NEG	4090	3480	217		0,527	0,53		307						
2006	6	3	5	NEG	4050	3390	187		0,527			212						
2006	5	1	5	NEG	4220	3530	272	200	0,524			266						
2006	5	2	6	NEG	4200	3470	211		0,526			188						
2006	5	3	5	NEG	4200	3540	207		0,521			301						
2006	4	1	13	NEG	4510	3450	200		0,522			309						
2006	4	2	5	NEG	4420	3550	199	450	0,52			253						
2006	4	3	26	NEG	4310	3470	201		0,519			218						
2006	3	1	10	NEG	4670	3540	291	450	0,522			245						
2006	3	2	30	NEG	4650	3480	161	450	0,524	0,35		282						
2006	3	3	22	NEG	4610	3450	168		0,522			246						
2006	2	1	11	NEG	4630	3570	361	690	0,522			280						
2006	2	2	12	NEG	4620	3490	205	450	0,52			346						
2006	2	3	9	NEG	4580	3530	227		0,523			292						
2006	1	1	12	NEG	4910	3610	478	2400	0,523			216						
2006	1	2	17	NEG	4930	3720	335	2400	0,523			239						
2006	1	3	59	NEG	4870	3660	673		0,518			231						
2005	12	1	12	NEG	4730	3720	210	3500	0,522	0,35		312						
2005	12	2	35	NEG	4800	3730	368	2400	0,525			283						
2005	12	3	11	NEG	4820	3720	232		0,522			234						
2005	11	1	104	NEG	4530	3600	195	790	0,521			272						
2005	11	2	31	NEG	4620	3530	178	9200	0,52			264						
2005	11	3	9	NEG	4710	3720	273		0,522			255						
2005	10	1	8	NEG	4680	3750	146	1300	0,518			200						
2005	10	2	5	NEG	4690	3700	193	450	0,522			244						
2005	10	3	19	NEG	4710	3650	359		0,522			244						
2005	9	1	6	NEG	4370	3530	205		0,519			200						
2005	9	2	14	NEG	4550	3730	221	690	0,517	0,35		138						
2005	9	3	7	NEG	4580	3680	162		0,52			204						
2005	8	1	6	NEG	4020	3300	292	790	0,527			323						
2005	8	2	5	NEG	3990	3330	193		0,527			300						
2005	8	3	5	NEG	4210	3440	232		0,525			301						
2005	7	1	18	NEG	4040	3270	206		0,525			320						
2005	7	2	9	NEG	4030	3350	161	1100	0,525			331						
2005	7	3	17	NEG	3890	3320	177		0,522			282						
2005	6	1	7	NEG	4050	3460	228		0,524			330						
2005	6	2	5	NEG	4170	3430	177	200	0,525	0,35		289						
2005	6	3	5	NEG	4090	3310	163		0,522			332						
2005	5	1	10	NEG	4450	3610	183		0,515			216						
2005	5	2	5	NEG	4380	3560	267	80	0,519			281						
